,doc_length
998,1647
999,517
1000,2324
1001,1255
1002,1761
1003,4642
1004,1361
1005,2799
1006,4183
1007,2076
1008,587
1009,2374
1010,1340
1011,2584
1012,1661
1013,5956
1014,4017
1015,1839
1016,201
1017,4169
1018,3269
1019,984
1020,885
1021,4421
1022,4629
1023,5202
1024,876
1025,2018
1026,2875
1027,1283
1028,3782
1029,3902
1030,1500
1031,717
1032,3257
1033,997
1034,4642
1035,237
1036,1720
1037,2866
1038,3548
1039,1615
1040,1689
1041,1340
1042,1227
1043,3569
1044,3190
1045,785
1046,1140
1047,909
1048,1003
1049,5179
1050,812
1051,3398
1052,1199
1053,1803
1054,835
1055,2243
1056,1174
1057,3099
1058,5565
1059,4808
1060,1553
1061,3133
1062,3340
1063,201
1064,347
1065,667
1066,1200
1067,5141
1068,4392
1069,3236
1070,1286
1071,2938
1072,978
1073,1972
1074,2857
1075,726
1076,5529
1077,2003
1078,2340
1079,2843
1080,2344
1081,3656
1082,2875
1083,790
1084,3180
1085,596
1086,1258
1087,725
1088,1415
1089,2758
1090,2624
1091,2234
1092,1283
1093,2018
1094,1698
1095,2583
1096,2000
1097,782
1098,2261
1099,1277
1100,1142
1101,3869
1102,1697
1103,232
1104,2727
1105,373
1106,4742
1107,814
1108,2322
1109,736
1110,4696
1111,2480
1112,831
1113,432
1114,2341
1115,1644
1116,1409
1117,3550
1118,2456
1119,947
1120,2238
1121,1051
1122,3604
1123,725
1124,915
1125,1036
1126,4183
1127,4947
1128,1693
1129,3071
1130,726
1131,3168
1132,2557
1133,909
1134,2848
1135,4138
1136,1702
1137,3135
1138,5972
1139,3398
1140,1142
1141,1796
1142,830
1143,1179
1144,3028
1145,2359
1146,725
1147,4590
1148,2422
1149,6924
1150,1444
1151,388
1152,1444
1153,1887
1154,1457
1155,4947
1156,5390
1157,879
1158,2528
1159,2260
1160,2334
1161,1887
1162,4481
1163,2581
1164,4128
1165,3318
1166,1324
1167,3335
1168,1159
1169,683
1170,1006
1171,2467
1172,509
1173,730
1174,5298
1175,2045
1176,3144
1177,2848
1178,3157
1179,2003
1180,1446
1181,3157
1182,1314
1183,5314
1184,2572
1185,4179
1186,1408
1187,4666
1188,3236
1189,3164
1190,2855
1191,4742
1192,7319
1193,3308
1194,884
1195,2244
1196,2341
1197,2467
1198,3627
1199,2739
1200,2562
1201,968
1202,3226
1203,7248
1204,1411
1205,1728
1206,2537
1207,3135
1208,1730
1209,531
1210,5202
1211,2843
1212,1101
1213,1036
1214,1647
1215,2579
1216,1873
1217,7687
1218,1639
1219,918
1220,1698
1221,5956
1222,3340
1223,6924
1224,4066
1225,2965
1226,4116
1227,3311
1228,887
1229,4294
1230,4356
1231,4636
1232,1200
1233,1921
1234,2845
1235,2639
1236,2482
1237,1211
1238,3148
1239,2260
1240,9081
1241,3196
1242,3148
1243,1858
1244,1900
1245,735
1246,5672
1247,3312
1248,692
1249,2940
1250,1770
1251,449
1252,1611
1253,1794
1254,1895
1255,863
1256,4682
1257,1248
1258,201
1259,3824
1260,581
1261,2184
1262,1840
1263,1595
1264,963
1265,596
1266,2747
1267,1758
1268,1777
1269,2358
1270,5529
1271,2837
1272,3475
1273,1427
1274,2739
1275,709
1276,726
1277,1246
1278,2547
1279,2817
1280,6231
1281,5283
1282,1260
1283,1457
1284,2986
1285,1726
1286,3180
1287,7319
1288,736
1289,5283
1290,2259
1291,1159
1292,725
1293,3512
1294,2244
1295,667
1296,2848
1297,1011
1298,2884
1299,3685
1300,3226
1301,2239
1302,2069
1303,934
1304,974
1305,586
1306,548
1307,2015
1308,997
1309,4016
1310,869
1311,2690
1312,2446
1313,2872
1314,703
1315,996
1316,726
1317,5545
1318,1361
1319,3869
1320,2000
1321,653
1322,1606
1323,2069
1324,1585
1325,556
1326,869
1327,3942
1328,812
1329,5451
1330,2254
1331,1775
1332,2505
1333,2505
1334,1654
1335,3250
1336,556
1337,911
1338,930
1339,4742
1340,823
1341,3589
1342,2116
1343,3308
1344,3688
1345,3144
1346,1000
1347,388
1348,3311
1349,3592
1350,4356
1351,1100
1352,3877
1353,2575
1354,1099
1355,1918
1356,1726
1357,4043
1358,4659
1359,2411
1360,4496
1361,2374
1362,2639
1363,2340
1364,1117
1365,4590
1366,1248
1367,2505
1368,1159
1369,1101
1370,1024
1371,2635
1372,1917
1373,4623
1374,1459
1375,4774
1376,1799
1377,3312
1378,3236
1379,3468
1380,915
1381,1411
1382,2003
1383,5886
1384,3578
1385,3569
1386,1392
1387,1565
1388,1808
1389,663
1390,4720
1391,984
1392,3363
1393,1906
1394,3798
1395,4042
1396,3656
1397,4356
1398,1512
1399,2495
1400,1246
1401,287
1402,863
1403,1796
1404,1411
1405,2003
1406,4046
1407,4642
1408,3475
1409,1704
1410,1508
1411,2848
1412,2339
1413,3753
1414,997
1415,3696
1416,1200
1417,1254
1418,422
1419,475
1420,1200
1421,709
1422,4642
1423,1174
1424,4659
1425,3951
1426,1588
1427,3748
1428,3656
1429,1794
1430,3656
1431,2295
1432,3444
1433,3429
1434,863
1435,898
1436,3431
1437,4818
1438,3676
1439,1689
1440,5901
1441,2154
1442,461
1443,2019
1444,5022
1445,3869
1446,1970
1447,3546
1448,2986
1449,1019
1450,1150
1451,1340
1452,4617
1453,579
1454,4128
1455,1324
1456,1073
1457,2936
1458,726
1459,2849
1460,3193
1461,835
1462,4742
1463,982
1464,1553
1465,1392
1466,3842
1467,1358
1468,1200
1469,596
1470,2857
1471,1358
1472,2844
1473,1140
1474,1174
1475,1803
1476,982
1477,3494
1478,4974
1479,4076
1480,3397
1481,2671
